id,name,network,merchant_id,category,countries,affiliate_url,target_url,cta
revolut,"Revolut Business & Personal",Awin,16183,"Fintech & Banking","GLOBAL,US,UK,FR,DE,ES,IT","https://www.awin1.com/cread.php?awinmid=16183&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fwww.revolut.com","https://www.revolut.com","Open an Account"
wise,"Wise",Awin,11090,"Fintech & Banking","GLOBAL,US,UK,EU,CA,AU","https://www.awin1.com/cread.php?awinmid=11090&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fwise.com","https://wise.com","Get Started"
qonto,"Qonto",Awin,17290,"Business Banking","FR,DE,ES,IT","https://www.awin1.com/cread.php?awinmid=17290&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fqonto.com","https://qonto.com","Try Qonto 30 Days Free"
shine,"Shine",Awin,17942,"Business Banking","FR","https://www.awin1.com/cread.php?awinmid=17942&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fshine.fr","https://shine.fr","Open Pro Account"
sage,"Sage Accounting & Payroll",Impact,12845,"Accounting & Payroll","GLOBAL,FR,UK,US,DE,ES","https://sagegmbh.sjv.io/YVKbYR","https://www.sage.com","Explore Sage"
quickbooks,"QuickBooks",Awin,10567,"Accounting & Payroll","GLOBAL,US,UK,CA,AU","https://www.awin1.com/cread.php?awinmid=10567&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fquickbooks.intuit.com","https://quickbooks.intuit.com","Start Free Trial"
freshbooks,"FreshBooks",Awin,14210,"Accounting & Invoicing","GLOBAL,US,UK,CA","https://www.awin1.com/cread.php?awinmid=14210&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fwww.freshbooks.com","https://www.freshbooks.com","Try Free for 30 Days"
pennylane,"Pennylane",Awin,18230,"Accounting & Finance","FR","https://www.awin1.com/cread.php?awinmid=18230&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fpennylane.com","https://pennylane.com","Discover Pennylane"
dougs,"Dougs Compta",Awin,19120,"Online Accountant","FR","https://www.awin1.com/cread.php?awinmid=19120&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fdougs.fr","https://dougs.fr","Get an Online Quote"
payfit,"PayFit",Awin,16750,"Payroll & HR","FR,UK,ES,DE","https://www.awin1.com/cread.php?awinmid=16750&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fpayfit.com","https://payfit.com","Request a Demo"
legalstart,"Legalstart",Awin,15430,"Legal & Incorporation","FR","https://www.awin1.com/cread.php?awinmid=15430&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Flegalstart.fr","https://legalstart.fr","Create Your Company"
legalplace,"LegalPlace",Awin,16220,"Legal & Accounting","FR","https://www.awin1.com/cread.php?awinmid=16220&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Flegalplace.fr","https://legalplace.fr","Launch Your Project"
pretto,"Pretto",Awin,18450,"Mortgage & Loans","FR","https://www.awin1.com/cread.php?awinmid=18450&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fpretto.fr","https://pretto.fr","Simulate Your Mortgage"
meilleurtaux,"Meilleurtaux",Awin,11340,"Mortgage & Rate Comparison","FR","https://www.awin1.com/cread.php?awinmid=11340&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fmeilleurtaux.com","https://meilleurtaux.com","Compare Best Rates"
traderepublic,"Trade Republic",Awin,19800,"Investments & Savings","DE,FR,ES,IT,EU","https://www.awin1.com/cread.php?awinmid=19800&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Ftraderepublic.com","https://traderepublic.com","Open Free Account"
raisin,"Raisin",Awin,14670,"High-Yield Savings","DE,US,UK,FR,ES,EU","https://www.awin1.com/cread.php?awinmid=14670&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fraisin.com","https://raisin.com","Explore High-Yield Rates"
shopify,"Shopify",Impact,9840,"Ecommerce Platform","GLOBAL,US,UK,FR,DE,ES,CA","https://shopify.pxf.io/QYEAXA","https://shopify.com","Start Free Trial"
fiverr,"Fiverr Affiliates",Awin,6288,"Freelance Services","GLOBAL,US,UK,FR,DE,ES,IT","https://www.awin1.com/cread.php?awinmid=6288&awinaffid=3027753&clickref=calcglobal&ued=https%3A%2F%2Fwww.fiverr.com","https://www.fiverr.com","Hire Freelance Talent"
